book_id,author_id,filename,title,authors,isbn,pages,publisher,language,description,keywords,pub_type,cover_image
b25e53b9ea60677a03dddc63e002a5d2,0,,Controlling in wissenschaftlichen Verlagen - Analyse IT-induzierter Veränderungen wissenschaftlicher Verlage und Konzeption ausgewählter Controlling-Instrumente ; Internetökonomie,"Ortelbach, Björn",9783940344090,,Universitätsverlag Göttingen,German,,scientific publishing; digitisation; transformation; scientific communication; scientific publishing; digitisation; transformation; scientific communication,book,
2c2930e9e9bac91dd6456153d82e74ca,0,,Controlling Knowledge: Freedom of Information and Privacy Protection in a Networked World,Lorna Stefanick,9781926836263 9781926836270 9781926836614,264,Athabasca University Press,English,,digital communications; privacy,book,
5857d917f24305d2a20091411ae489c9,0,,Convergence Culture Reconsidered - Media - Participation - Environments,"Georgi, Claudia; Glaser, Brigitte Johanna",9783863952174,,Universitätsverlag Göttingen,English,,literature; culture; media; literature; culture; media,book,
9aacf1fd8a80036e3d94ebe26b8d57b5,0,,A Conversation about Healthy Eating,"Lesica A. ,Nicholas",9781911576754,248,UCL Press,English,,Diet; Eating; Food; Neuroscience,book,
5572d2cb4466bf8a870568748b8066a4,0,,Conversational Writing - A Multidimensional Study of Synchronous and Supersynchronous Computer-Mediated Communication,"Jonsson ,Ewa ",9783631671535,353,PETER LANG LTD International Academic Publishers,English,,computer chat; IRC communication; split-window ICQ; social media,book,
7875226003bdf6a78eb8229adecbb4d3,0,,"Les conversations paysagères 2004. Métiers du paysage. Textes du colloque du 13 octobre 2004, Espace Senghor - Gembloux (Belgique)","Feltz, C. (ed.); Neirinck, P. (ed.); Roggemans, J. (ed.); Toussaint, A. (ed.)",9782870160794,82,Presses agronomiques de Gembloux (Liege University),,,,book,
ad0c154aea57354b0e6af04758b9bdbd,0,,Conversations with Kenelm : Essays on the Theology of the Commedia,"Took ,John",9781909188006,201,Ubiquity Press,English,,Dante; Kenelm Foster; Commedia,book,
473d0ad762e245adc1e909fc28c46450,0,,Converts of Conviction. Faith and Scepticism in Nineteenth Century European Jewish Society,"Ruderman, David B.",9783110530797 9783110530858,"vi, 109",De Gruyter,English,,Converts;  Missionaries,book,
4f8261ddd6540f7e6460f057cdb119b3,0,,"Cookies, Coleslaw, and Stoops : The Influence of Dutch on the North American Languages","Sijs van der ,Nicoline",9789089641243,320,Amsterdam University Press,English,,"Culture and history; History, geography, and auxiliary disciplines; Dutch and Flemish language; Cultuur and geschiedenis; Geschiedenis; Nederlandse taal",book,
d9da0dc882243b251b6abc4f50747812,0,,The Coombs : A House of Memories,"Lal V. ,Brij; Ley ,Allison",9781921934179,,ANU Press,English,,Coombs Building; The Australian National University,book,
d64345599607d05aa7db1ea9055bcc59,0,,"Cooperation and Conflict the Nordic Way. Work, Welfare, and Institutional Change in Scandinavia","Engelstad, Fredrik; Hagelund, Anniken",9783110444285 9783110436891,310,De Gruyter,English,,"Nordic countries, Norway, welfare policies, labour market, institutional change, capitalism",book,
4aacf5b6939d56ab3bb36689153a2ed4,0,,La coopération économique entre les deux Irlandes,Anne Groutel,9782841331796 9782841334674,,Presses universitaires de Caen,fr,,"coopération économique, relations République d'Irlande - Irlande du Nord, Irlande (République), Irlande du Nord, relations irlando-britanniques, unionistes, Fonds international pour l'Irlande",book,
0fb21ddb25970c5ca701b4b3aa0613ba,0,,Cooperativismo e coletivização no campo: questões sobre a prática da igreja popular no Brasil,"Esterci, Neide",9788599662625,103,SciELO Books - Centro Edelstein,pt,,RELIGION,book,
167a70527faa6d35c2637c0c8460da7e,0,,Coordination Abilities in Volleyball,Jaromir Šimonek,9783110370317 9783110374247,80,De Gruyter,English,,Volleyball. Long-term sports preparation. Coordination abilities. Inter-gender differences. Dynamics of changes. Model of development. Sports games. Periodization of sports preparation,book,
fe35eea2e9f8c17b1120886c5ee397fc,0,,La coordination des transports en France,Nicolas Neiertz,9782110898272 9782821841444,,Institut de la gestion publique et du développement économique,fr,,"transports, route, rail, lignes aériennes, voies d'eau",book,
870752dd2561239362e6fa4a7765e3b6,0,,Coordination et coordinateurs,"Luc Greffier, Pascal Tozzi",9782954139029 9791093839127,,Carrières Sociales Editions,fr,,animation socio-culturelle,book,
16f655cd511b3f2d243ad5d4483837fa,0,,Coordination in Service Value Networks : A Mechanism Design Approach,"Blau, Benjamin Sebastian",9783866447240,"XIV, 242 p.",KIT Scientific Publishing,englisch (eng),,"Service Value Network, Service, Web Service, Auction, Game Theory",book,
5f948af3728d4fe2bd51bac141e57267,0,,A COPD Primer,"Eschenbacher, William; Panos, Ralph ",9783110468007 9783110468113,412,De Gruyter,English,,Internal Medicine,book,
8f3a068936067fe8b0d272602d969a10,0,,Coping With the Gods,"Versnel ,H.S.",9789004204904 9789004210905,"xiv, 594 pp.",Brill,English,,Religion; Cult; Divine; Omnipotence; Polytheism; Ruler; Theodicy; Religie; Cultus; Voorspellen; Almacht; Veelgoderij; Leider; Theodicee,book,
2e3fc38aa430de2739613761579f515c,0,,"Copper-cobalt flora of Upper Katanga and Copperbelt. Field guide. Over 400 plants, 1,000 photographs and 500 drawings","Malaisse, François; Schaijes, Michel; D'Outreligne, Claire",9782870160800,422,Presses agronomiques de Gembloux (Liege University),Eng,,,book,
8a2118d6b9f01ae07444f0628d97be60,0,,Les coptes d’Égypte sous Nasser,Brigitte Voile,9782271062703 9782271077875,,CNRS Éditions,fr,,"copte, Égypte, hagiographie copte",book,
83456ca9e9efd04aacd13bbc4b3e602b,0,,Copular Clauses and Focus Marking in Sumerian,"Zólyomi, Gábor ",9783110401691 9783110427349,212,De Gruyter,English,,"Sumerian, copula, focus, information structure, copular clauses, grammaticalization, cuneiform languages",book,
f613445eebd409cc0f9abc0fffe5fa61,0,,Le cordonnier de Jérusalem,Gaël Milin,9782868472380 9782753523227,,Presses universitaires de Rennes,fr,,"tradition, religion chrétienne, histoire culturelle, Moyen Âge, minorité, culture populaire",book,
581389135063f701dbf78f405f6482c2,0,,Coriolan de William Shakespeare,Richard Hillman (dir.),9782869062283 9782869063426,,Presses universitaires François-Rabelais,fr,,"Coriolan, théâtre, littérature de langue anglaise",book,
796f7466c4a65399c7c377c69d4b5d9c,0,,"Cornelius Nepos, Life of Hannibal: Latin Text, Notes, Maps, Illustrations and Vocabulary","Mulligan, Bret (Author)",9781783741335 9781783741342,174,Open Book Publishers,English,,"Cornelius Nepos, Hannibal, Chartage, Ancient Rome, Punic wars, Latin literature",book,
7c61c5a8a2760cebbfde6202781f4635,0,,Corners of Texas,"Abernethy, Francis E",9780929398570,,University of North Texas Press,,,,book,
a100869e069acd4c9a7ecf9d590955ab,0,,Les cornes de Moïse. Faire entrer la Bible dans l’histoire,Thomas Römer,9782213654232 9782722601017,,Collège de France,fr,,"Ancien Testament, Bible, histoire, historiographie, philologie",book,
